"","beta0.1","beta0.2","beta0.3"
"19547",5.04323829076012,5.1074397429597,5.04803955091702
"18782",5.0941819531781,4.98861067049264,5.18885289261792
"19521",4.74477620844761,5.03986383352074,4.98333021150274
"22647",5.05206364322888,5.04749401802834,5.11507621143669
"3054",5.03784711917802,4.99909137080534,5.16587782335386
"10995",5.06696908739992,5.02997806130262,5.09852900437479
"1425",5.0222426928328,5.0186275536466,4.95367612025653
"3550",4.96587983729877,4.94125463729845,5.05310651606308
"10025",5.1428105750126,4.91490133052349,5.06064967199555
"22484",4.85541915624278,4.89511352382255,5.29790910823901
"8534",5.1344719850966,5.04408647841683,5.17840181733766
"14017",5.04225381220627,5.04295871357879,5.15271833337563
"11916",5.02033046437734,5.02999847055963,5.07943878452331
"3610",5.13566982661728,4.89235410654817,5.0408521310421
"17613",5.14075767192597,5.00518147764356,4.96199198721557
"17938",4.8347082985255,4.93989656123628,5.05183665472305
"11266",4.98236698141895,4.97901990823483,5.09091632587045
"14787",4.94178168582504,4.88530944611867,5.07115191499336
"605",4.8347276571595,4.99451541449824,5.04073111813232
"16724",5.06944284861263,4.82848060344211,4.9988530625664
"6432",4.81683686579612,5.02694610784942,4.99485890345223
"4031",4.97596487463408,5.00770962726471,4.9221953183523
"3234",4.84450719839874,4.83781604165283,5.10671870046756
"20708",4.89624678115453,4.96719294745668,4.97339323872228
"13376",5.06192582360518,4.99053879976944,4.98345794002448
"539",5.23231496919385,5.08966107742262,5.0667481895991
"4547",5.04667926723969,5.06801994512966,5.14818210691732
"14373",5.13299744494559,4.89246600579429,5.14703845067712
"18989",4.91665871488859,5.09257048704537,5.06910219374036
"2785",4.93619585235578,5.03685365854338,4.98186494827055
"20215",4.93480598296196,4.95646993482338,5.22090303943474
"8671",4.86807178173575,5.10419289818012,5.07852324470249
"1484",4.87588485254597,5.00279749656389,5.13438056993207
"4109",4.91469283981884,5.25874060397704,5.1457793724214
"2598",4.92201058623329,4.97214957484075,5.14257168542933
"7761",4.99935796047984,5.05456696336078,5.14333211358147
"16580",5.00966812869807,4.90052588655643,5.18457400016315
"18141",5.03722960712065,4.92574408641432,5.14776317586865
"25383",4.88610960342554,5.18688558393091,5.16389187908062
"8096",5.06634245566654,5.08001569111471,5.16496418371091
"7776",5.32930944567625,4.96073875606815,5.11163359138297
"11282",5.08372407887876,5.04256203698541,5.12357682073594
"24162",4.8694543413545,5.14041996892146,4.93300637489582
"7410",5.03248387010741,4.92774515557818,5.12888351764056
"3281",4.9327657519049,4.9515488162086,4.94802574076846
"13292",5.12919409433035,5.15036887227879,5.11586516735241
"15877",5.03699038471607,4.90696261589125,5.20086421403952
"22444",4.8813195657995,5.22564792892615,4.96595357728252
"1549",5.08388463100993,4.9596945255655,5.13049556184945
"4788",5.05095964392882,5.07708475404239,5.16262546987211
"11921",4.90279343455512,4.79041349687692,4.90640602690462
"20927",4.94962540402361,4.86752820001242,5.08644693872246
"16178",5.04895908425916,5.02095790028683,5.00421988638177
"23623",5.01712453987846,4.94127065953708,5.05262815656909
"12685",4.77382873313259,4.78329201072423,4.91366167690087
"10706",4.94732779689873,4.9624665432757,4.94414072544329
"5893",4.87820582573755,4.9264468612156,4.98757371372156
"4065",4.96160250463353,5.23099339579023,5.28387420020205
"345",5.34743058481581,4.92262519294437,5.15432028995828
"17222",4.95843060188764,5.00048786981571,5.13865966747734
"21053",5.04917683473038,4.88791887881578,5.13398643117614
"17889",5.09813724441715,4.95676011347409,4.95953110475962
"4018",5.24461671882551,5.01428049349391,5.13828631522063
"9485",4.89074996831552,4.99748893013319,5.11166990304702
"9531",4.9235536301942,5.17590845928893,5.09746002823346
"14485",5.03056164088963,4.92761959017351,5.1854099813532
"17260",4.91218541714464,5.08705484782588,5.20881843740375
"11895",5.07474653613337,4.94895781943469,5.15449956219457
"24369",5.06235541827865,5.25006618476821,5.06239999036489
"25405",5.08585424511094,4.96301715716518,5.08100283811033
"16716",4.94267341210576,4.92715946267288,5.06475484372898
"16295",4.85417050547114,5.14390978411458,4.97455526721324
"19816",4.93679900848289,4.86517629604139,5.05847345388171
"5274",4.96782228462274,4.9603505261078,5.11902103447914
"20725",4.99208496174073,5.05126339695286,5.27794146357759
"22825",5.00556973832452,4.98319319356069,5.28688599964367
"20500",4.8525402643116,4.83146739628596,5.01857184203226
"16299",5.06655787406091,4.90781266520704,5.09930711585904
"10427",4.9080940194351,5.06010768355526,5.0419879832825
"25422",4.93967647194519,5.05447918567397,5.08984087082919
"22688",5.05303712386472,5.00218949240087,4.99056554842105
"17926",5.17209624874141,5.00073524291251,5.08382971766009
"4800",4.93836826994784,4.96466352404146,5.12612118889683
"18017",5.03495742303152,4.85893638541409,5.02173502573182
"16882",5.05971146328887,5.14623187174009,5.07561252358679
"16606",5.00476289675028,4.94431599715,5.04734983027884
"10585",5.12478869041143,5.17013272053314,5.1236451946584
"18218",4.81499306530498,4.88557303762803,5.03821211443881
"2179",5.00386728206689,4.93799729840539,5.05302594807538
"6585",4.9608254310292,4.99532671385507,5.18465258169047
"7804",4.96458105434462,4.87091109197724,5.09700504963281
"5514",5.14517160530177,4.97170471772417,5.19031986499364
"19988",4.91370240083217,4.94824115634304,5.12653694544936
"14419",4.81558427649929,4.91866987706125,5.15606503990718
"14446",5.09136181644408,5.16289376517,5.00282872497322
"11332",5.01868526671433,5.11764779846651,5.07980483156027
"3934",5.10628015961135,4.93037689557509,5.0778830101037
"17220",4.86573737304376,4.90707294972264,5.03839895589587
"9933",4.9811193223116,4.92903571959157,5.03514165357402
"11726",4.880445951126,5.01077303939559,5.17340470234772
"14786",4.88278488831658,5.07384377074562,5.14698702635074
"2176",4.98206197414758,5.1636056674747,5.08307861632843
"3706",4.9711981507739,4.92952400968199,5.12840704174491
"21775",4.88900043530489,5.08813462766671,5.19853424646593
"21268",5.05540716433753,4.94370966215772,4.97612683164086
"16689",4.95782735594362,4.80416925695762,5.07665264169786
"13113",5.12259030958933,4.93834049157822,5.02578653461143
"13039",4.74899146546045,5.04797874952406,5.13706221895389
"7694",5.20663809353624,5.07735433424826,5.07283752797653
"20160",5.18580867764287,4.95252695244809,4.89649673061329
"6567",5.10801860572527,5.12671093825816,5.12697031606291
"2696",4.93396183278785,5.02800292010104,5.12499930859381
"17377",5.13139889917368,5.02164001746554,5.0711584032929
"5311",5.12568994378063,5.09562596026423,5.14753012385016
"24435",5.0213750730152,5.05051837735637,5.05463669578742
"9175",5.13469839512779,5.08849580662885,5.07683175531004
"14767",4.9752459194497,4.90652555341294,5.12609709306745
"14653",4.87863632201908,5.10465232858722,5.08713788556089
"18866",5.04999409540704,4.88938652774575,5.33320272495307
"11780",4.96292055924224,4.98606951870494,4.99762063274293
"24165",5.30127171820616,4.76590943325491,5.1010694968344
"22839",5.28979330268161,5.14699524714813,5.00757589040579
"13795",5.00375934389154,5.08256781161268,5.14960777099644
"16326",4.86466795188092,5.04440613017522,5.03590523031936
"20357",5.03289487770496,4.99042508877385,5.12421274558433
"24532",5.10992257929169,4.93169979391424,5.03704652575877
"13465",4.95788671359479,5.01475047225517,4.97904647281076
"4037",4.81246477338538,5.00670764030634,5.10138139767138
"17965",4.97813191679016,5.08285068913762,5.12342158882315
"816",4.9863721398385,4.8899530299424,5.04342408149575
"4216",5.00467368580813,4.86280395920685,5.08337075729693
"11845",4.91363601472755,4.96511892430896,5.04542942320114
"4285",4.88021015492345,4.98803756264959,5.0215654315954
"3671",4.76579841078873,5.03072794473472,5.0870078887492
"21333",5.05668606813917,5.00872284521343,5.1763907773081
"23820",5.16288564847802,4.95310807263006,5.08060110880029
"18700",4.87209482028882,5.0482854378433,4.97963819685678
"14897",4.90154938600135,5.09920472014285,5.16908012193775
"16593",5.11060835922379,4.83746939283689,5.05547964910579
"6561",4.98282123533604,4.89404326720843,5.02251174548243
"8036",4.93975432446169,5.01678033734201,5.0290949903571
"21386",4.79539471350358,5.03437327473325,5.03560082424941
"18991",5.11241628065759,5.00633153499511,5.2099297389577
"24114",5.09365247729462,5.11060437322116,5.21063865321572
"4783",4.96636784395254,4.94005904955325,5.1117709382355
"20404",4.96028584241511,5.05705362439399,4.97274723376082
"15683",4.9072169529105,5.02468732045077,5.01064540657101
"12385",4.93918463023496,5.02941695487603,5.13215920339093
"20503",5.08896140127653,4.94377702406447,5.12284087258801
"16126",4.82385212899572,4.91669009117847,5.08736613983448
"24143",4.86301109910337,4.96904300331786,5.09009041430739
"25181",4.91520192117268,5.03664608471503,5.0309331812228
"12495",4.89643084768539,5.05152751728356,4.96953967077031
"8364",5.08921875101692,4.86376335682204,5.09334170309268
"12689",5.06458682505136,4.97571344783712,5.25294927277314
"16060",4.99635608960588,4.97396105482256,5.1926122946087
"19080",5.27404590290146,5.22496492821535,5.14711309897649
"13103",5.04022327568504,5.0055451310491,5.2482352521886
"9611",5.06408564887734,5.09554361219559,5.0662548173576
