"","vacvac","vaccrem","vacliom","cremvac","cremcrem","cremliom","liomvac","liomcrem","liomliom"
"17",0.97331346202032,0.0136453765425646,0.0130411614371158,0.945828265731768,0.00387716249938397,0.00962894586475666,0.947957603493106,0.00641962679413236,0.0456227697127616
"18",0.972643737111857,0.013928772302473,0.0134274905856695,0.944648897232574,0.0039554726574271,0.00990864797129556,0.946517283590009,0.0065475023847872,0.0469352140252042
"19",0.971957180826219,0.0142178008531181,0.0138250183206624,0.943444802998135,0.00403525246301414,0.0101961917646076,0.945038996335779,0.00667764144953261,0.0482833622146881
"20",0.971253382708167,0.0145125620112739,0.0142340552805597,0.942215517138128,0.00411652461806038,0.0104917823240193,0.943521862281645,0.00681007012694238,0.0496680675914126
"21",0.970531923306618,0.0148131567691035,0.0146549199242789,0.940960567629606,0.0041993119582913,0.0107956293242043,0.94196498878606,0.00694481414100675,0.0510901970729335
"22",0.969792374041141,0.0151196872767708,0.0150879386820877,0.9396794763705,0.00428363744314146,0.0111079470977268,0.940367470253749,0.00708189875537845,0.0525506309908722
"23",0.969034297070443,0.0154322568229412,0.0155334461066154,0.938371759241619,0.00436952414503974,0.011428954696137,0.93872838840816,0.00722134872567924,0.0540502628661611
"24",0.968257245163164,0.0157509698130664,0.0159917850237694,0.937036926177543,0.00445699523806113,0.0117588759494517,0.937046812598998,0.00736318824983627,0.0555899991511659
"25",0.967460761571323,0.0160759317453463,0.0164633066833306,0.935674481246816,0.00454607398592488,0.0120979395238455,0.935321800146591,0.00750744091642093,0.0571707589369879
"26",0.96664437990676,0.0164072491842546,0.0169483709089854,0.934283922741848,0.0046367837293195,0.0124463789773683,0.933552396724817,0.0076541296509662,0.0587934736242164
"27",0.965807624020948,0.0167450297315148,0.0174473462475371,0.932864743278942,0.00472914787253404,0.0128044328134976,0.931737636784383,0.00780327666024257,0.0604590865553747
"28",0.964950007888572,0.0170893819944061,0.0179606101170217,0.931416429908893,0.00482318986937617,0.0131723445323269,0.929876544018246,0.00795490337447706,0.0621685526072765
"29",0.964071035495287,0.0174404155512792,0.0184885489534337,0.92993846423858,0.00491893320835668,0.0135503626791796,0.927968131871003,0.00810903038750441,0.0639228377414925
"30",0.963170200730093,0.0177982409141561,0.0190315583557509,0.928430322563998,0.00501640139712094,0.0139387408904338,0.926011404094048,0.0082656773948451,0.0657229185111067
"31",0.962246987282789,0.0181629694882851,0.019590043228926,0.926891476015191,0.00511561794610738,0.0143377379363303,0.92400535534835,0.00842486312971034,0.0675697815219395
"32",0.961300868546986,0.0185347135285193,0.0201644179244943,0.925321390713535,0.00521660635141385,0.0147476177605304,0.921948971856654,0.00858660529694051,0.0694644228464052
"33",0.960331307529192,0.0189135860923852,0.0207551063784232,0.923719527941837,0.00531939007685248,0.0151686495161799,0.91984123210693,0.00875092050489037,0.07140784738818
"34",0.959337756764489,0.0192997009897006,0.0213625422458108,0.922085344327711,0.00542399253517463,0.015601107598227,0.917681107608853,0.00891782419528144,0.0734010681958652
"35",0.95831965823938,0.0196931727286044,0.0219871690320155,0.920418292040718,0.00553043706844729,0.0160452716717332,0.9154675637051,0.00908733057104996,0.0754451057238504
"36",0.957276443322371,0.0200941164578516,0.0226294402197773,0.91871781900372,0.00563874692756356,0.0165014266959081,0.913199560439161,0.00925945252222714,0.0775409870386119
"37",0.956207532702905,0.0205026479052291,0.023289819391866,0.916983369118947,0.00574894525086973,0.0169698629435884,0.910876053481388,0.00943420154989737,0.0796897449687145
"38",0.955112336339289,0.0209188833119427,0.0239687803487682,0.915214382509239,0.00586105504189271,0.017450876015874,0.90849599511487,0.00961158768828967,0.0818924171968403
"39",0.953990253416277,0.0213429393628244,0.024666807220899,0.913410295774938,0.00597509914615216,0.0179447668516276,0.906058335282712,0.00979161942506759,0.0841500452922201
"40",0.952840672312995,0.0217749331122065,0.0253843945747981,0.911570542266918,0.0060911002270424,0.0184518417315299,0.903562022698188,0.00997430361989372,0.0864636736819186
"41",0.951662970581948,0.0222149819053086,0.0261220475127432,0.9096945523762,0.00620908074077062,0.0189724122763824,0.901006006019136,0.0101596454213561,0.0888343485595078
"42",0.950456514939832,0.0226632032949801,0.0268802817651876,0.907781753840641,0.00632906291033844,0.019506795439334,0.898389235087888,0.0103476481823556,0.0912631167297567
"43",0.94922066127096,0.0231197149536406,0.027659623775399,0.905831572069139,0.00645106869855553,0.0200553134917065,0.895710662237853,0.0105383133740665,0.0937510243880803
"44",0.947954754644089,0.0235846345802611,0.02846061077565,0.90384343048382,0.00657511978007523,0.020618294002082,0.892969243667794,0.0107316404985934,0.0962991158336131
"45",0.946658129343494,0.0240580798022255,0.0292837908542805,0.901816750880627,0.00670123751244339,0.0211960698083118,0.89016394088462,0.0109276270004654,0.0989084321149144
"46",0.945330108915161,0.0245401680719149,0.0301297230129237,0.899750953808767,0.00682944290615341,0.0217889789820979,0.887293722215414,0.0111262681771164,0.10158000960747
"47",0.943970006228985,0.0250310165578559,0.0309989772131587,0.897645458969409,0.00695975659370222,0.0223973647857925,0.884357564389152,0.0113275570885215,0.104314878522326
"48",0.942577123557905,0.0255307420302755,0.0318921344118194,0.895499685634045,0.00709219879764356,0.0230215756210582,0.881354454188442,0.0115314844661691,0.107114061345388
"49",0.941150752674928,0.0260394607409069,0.0328097865841649,0.893313053082892,0.00722678929763716,0.0236619649690219,0.878283390171321,0.0117380386215673,0.109978571207112
"50",0.939690174969026,0.0265572882968931,0.0337525367340805,0.891084981063692,0.00736354739649446,0.0243188913215573,0.875143384462945,0.0119472053544968,0.112909410182558
"51",0.93819466158091,0.0270843395286363,0.0347209988904532,0.888814890271254,0.00750249188522368,0.0249927181033225,0.87193346461674,0.0121589678612401,0.11590756752202
"52",0.936663473559719,0.0276207283514476,0.0357157980888333,0.886502202848048,0.00764364100707979,0.0256838135841814,0.868652675544286,0.0123733066430319,0.118974017812682
"53",0.935095862041684,0.028166567620852,0.0367375703374635,0.884146342906126,0.0077870124206271,0.0263925507816324,0.865300081512927,0.012590199414993,0.12210971907208
